Word,Meaning,Example,Note,Tag,Source,Date
most likely,"분명히, 틀림없이",,,to print,,"March 5, 2023 3:52 PM"
compensation,"[kɑːmpənˈseɪʃən] 배상금, 보상금",,,to define,,"March 5, 2023 3:54 PM"
insist,"고집하다, 강요하다",He insisted on going with me. 그는 나와 같이 가겠다고 고집했다,,to define,,"March 5, 2023 3:57 PM"
salmon,련어,,,to learn,,"March 5, 2023 4:56 PM"
look after,"⋯을 돌보다, 보살피다",Who looks after the kids while you’re at work? 회사에 있는 동안 누가 아이들을 돌보나요?,,to learn,,"March 5, 2023 5:03 PM"
appalled,"[əˈpɔːld] 질겁한, 경악한",,,to define,,"March 5, 2023 5:06 PM"
anxious,"[æŋkʃəs] 걱정하는, 불안해하는",,,to define,,"March 5, 2023 5:07 PM"
sympathetically,[sɪmpəˈθet̬ɪkli] 호의적으로,,,to define,,"March 5, 2023 5:08 PM"
flirtatiously,[fləːʳˈteɪʃəs] 추파를 던지듯이,,,to define,,"March 5, 2023 5:08 PM"
reassuringly,"[riːəˈʃʊ(ə)rɪŋ] 안심시키려는 듯이, 마음이 놓이게",,,to define,,"March 5, 2023 5:09 PM"
dismissively,"무시하는 듯이, 대수롭지 않다는 듯이",,,to define,,"March 5, 2023 5:10 PM"
get along,"서로 잘 지내다, 사이가 좋다","get along with somebody ⋯와 잘 지내다, ⋯와 사이가 좋다",,to define,,"March 5, 2023 5:14 PM"
run out,"<시간∙돈 등이> 바닥나다, 다 떨어지다",My patience was running out. 내 인내심은 한계를 보이고 있었다,,to print,,"March 5, 2023 5:16 PM"
shame,"유감스러운 일, 아쉬운 상황",It’s a shame you can’t come with us. 우리와 함께 갈수 없다니 아쉽구나.,,to learn,,"March 5, 2023 5:17 PM"
cod,대구,,,to define,,"March 5, 2023 5:18 PM"
heel,(신발의) 굽,,,to define,,"March 5, 2023 5:19 PM"
ridiculous,"터무니없는, 말도 안 되는, 우스꽝스러운",,,to define,,"March 5, 2023 5:21 PM"
scatty,"주의가 산만한, 덜렁대는",,,to define,,"March 5, 2023 5:23 PM"
cut down,"…의 량 (수, 규모)를 줄이다.",Taking these precautions would cut down the risk of fires. 이런 예방조치들을 취하면 화재 위험이 줄어들 것이다,,to print,,"March 6, 2023 7:24 AM"
break the news,소식을 알리다,"Samantha and Michael are getting married, but they haven’t yet broken the news to their parents.",to make something known,to learn,"Lesson 1, SELAA","March 6, 2023 7:31 AM"
cost an arm and a leg,엄청나게 비싸다. 엄청난 돈이 들다.,A college education in America costs an arm and a leg.,to be very expensive,to learn,"Lesson 1, SELAA","March 13, 2023 4:13 AM"
top dollar,많은 돈,Nicole paid top dollar for a shirt at Banana Republic.,the highest end of a price range; a lot of money,to learn,"Lesson 1, SELAA","March 13, 2023 4:17 AM"
give sb the creeps,겁을 주다. 섬뜩함을 주다,There was a strange man following me around the grocery store. He was giving me the creeps!,to create a feeling of disgust or horror,to learn,"Lesson 1, SELAA","March 13, 2023 4:20 AM"
grocery,식료품,,,to learn,"Lesson 1, SELAA","March 13, 2023 4:22 AM"
disgust,"혐오감 ",,in disgust 진절머리가 나서,to learn,"Lesson 1, SELAA","March 13, 2023 4:22 AM"
horror,"공포, 무서움",,,to learn,"Lesson 1, SELAA","March 13, 2023 4:22 AM"
must be + ing,…하고 있음이 틀림없어,Someone must be lying. 누군가 거짓말을 하고 있는것이 분명하다.,,to print,"Lesson 1, SELAA","March 13, 2023 4:29 AM"
go belly-up,<회사가> 파산하다,My company lost $3 million last year. We might go belly-up.,to go bankrupt,to learn,"Lesson 1, SELAA","March 13, 2023 4:31 AM"
save the day,"[곤경, 실패, 패배 등]을 면하다.","We forgot to buy champagne for our New Year’s party, but Sonia brought some and really saved the day!",to prevent a disaster or misfortune,to learn,"Lesson 1, SELAA","March 13, 2023 4:36 AM"
disaster,"[dɪˈzæstəʳ] 재난, 재해, 참사",,,to learn,"Lesson 1, SELAA","March 13, 2023 4:37 AM"
misfortune,[mɪsˈfɔːʳtʃən] 불운,,,to learn,"Lesson 1, SELAA","March 13, 2023 4:37 AM"
campaign,[kæmˈpeɪn] (정치적∙사회적) 운동,,,to learn,"Lesson 1, SELAA","March 13, 2023 4:42 AM"
let’s face it,"(불쾌한 사실∙상황 등을) 인정하자, 받아들이자",,accept a difficult reality,to print,"Lesson 1, SELAA","March 13, 2023 4:43 AM"
real flop,실패작,,a failure,to print,"Lesson 1, SELAA","March 13, 2023 4:44 AM"
go back to the drawing board,시작부터 다시 시작하다.,"Frank’s new business failed, so he had to go back to the drawing board.",to start again from the beginning,to print,"Lesson 1, SELAA","March 13, 2023 4:45 AM"
give someone the ax,누군가를 해고하다.,He was given the ax two days before Christmas.,to fire someone,to learn,"Lesson 1, SELAA","March 13, 2023 4:47 AM"
sharp as a tack,매우 총명한,Jay scored 100% on his science test. He’s as sharp as a tack.,very intelligent,to learn,"Lesson 1, SELAA","March 13, 2023 4:50 AM"
talk over,론의하다,Dave and I spent hours talking over the details of the plan.,to discuss,to print,"Lesson 1, SELAA","March 13, 2023 4:54 AM"
after all,어쨌든,"You shouldn’t be upset – after all, you asked him to leave. 속상해 할것 없어. 어쨌든 당신은 그에게 떠나달가고 했으니까.",,to learn,"Lesson 1, SELAA","March 13, 2023 4:58 AM"
no point in,…해봐야 소용없다. 의미없다.,There’s no point in worrying about things you can’t change.,no reason to; it’s not worth (doing something),to print,"Lesson 1, SELAA","March 13, 2023 5:01 AM"
make up one’s mind,"결정하다, 마음먹다",,to reach a decision; to decide,to print,"Lesson 1, SELAA","March 13, 2023 5:04 AM"
at least,적어도,"We’ve run out of coffee, but at least we still have tea.",anyway,to print,"Lesson 1, SELAA","March 13, 2023 5:06 AM"
put up with,"(불평없이) 참다, 받아들이다.","For many years, Barbara put up with her husband’s annoying behavior. Finally, she decided to leave him.",to endure without complaint,to learn,"Lesson 1, SELAA","March 13, 2023 5:07 AM"
dead-end job,장래성이 없는 직업,Diane realized that working as a cashier was a dead-end job.,a job that won’t lead to anything else,to print,"Lesson 1, SELAA","March 13, 2023 5:11 AM"
lose one’s temper,버럭 화를 내다,"When Ted handed in his essay two weeks late, his teacher really lost her temper.",to become very angry,to learn,"Lesson 1, SELAA","March 13, 2023 5:14 AM"
essay,(학생이 과제로 쓰는) 보고서,,,to learn,"Lesson 1, SELAA","March 13, 2023 5:16 AM"
get canned,해고되다.,"After Chris got canned, it took him a year to find a new job.",to lose one’s job; to get fired,to learn,"Lesson 2, SELAA","March 14, 2023 3:38 AM"
right-hand man,"심복, 오른팔","When Jack Thompson retired as president of his company, his right-hand man took over.",the most helpful assistant or employee,to learn,"Lesson 2, SELAA","March 14, 2023 3:39 AM"
stab someone in the back,…을 배신하다.,"Jill and Heather were friends, until Heather stabbed Jill in the back by stealing her boyfriend.",to betray someone,to learn,"Lesson 2, SELAA","March 14, 2023 3:40 AM"
betray,"<친구∙가족 등> 을 배신하다, 밀고하다",He felt betrayed by her.,,to learn,"Lesson 2, SELAA","March 14, 2023 3:41 AM"
keep someone’s chin up,"힘내라, 기죽지 말라.",Keep you chin up! You’ll find your lost dog soon.,to stay positive,to print,"Lesson 2, SELAA","March 14, 2023 3:44 AM"
When pigs fly,해가 서쪽에서 뜨겠다야. 절대 일어날수 없는 일을 빗대서 하는 말.,Will Ted teach Nicole how to play the guitar? When pigs fly!,Never,to learn,"Lesson 2, SELAA","March 14, 2023 3:46 AM"
tell off (= scold),…을 엄하게 꾸짖다.,"When Ted showed up for chemistry class a half an hour late, his teacher really told him off.",to scold; to tell someone in strong words what one really thinks,to print,"Lesson 2, SELAA","March 14, 2023 3:49 AM"
show up,"(약속 장소 등에) 나타나다, 모습을 드러내다",Sue showed up twenty minutes late for class.,,to print,"Lesson 2, SELAA","March 14, 2023 3:51 AM"
look on the bright side,"(주로 나쁜 상황에서) 밝은 면을 보다, 긍정적으로 생각하다","Leo was upset that his soccer game was canceled. His mother said, “Look on the bright side, now you can stay home and watch TV.”",to be optimistic; to think about the positive part or aspect of a situation,to learn,"Lesson 2, SELAA","March 14, 2023 3:55 AM"
set eyes on,"(특히 처음으로) ⋯을 보다, 만나다",Ted was in love from the moment he set eyes on Amber.,to look at; to see for the first time,to learn,"Lesson 2, SELAA","March 14, 2023 4:36 AM"
optimistic,"락천적인, 락관적인",,,to learn,"Lesson 2, SELAA","March 14, 2023 4:37 AM"
thank goodness,"(천만) 다행이다, 감사합니다.","When Ted came home at 4 am. last Sunday, his mother said “Thank goodness you’re home! I was so worried about you.”",I’m grateful; I’m relieved,to learn,"Lesson 2, SELAA","March 14, 2023 4:38 AM"
relieved,마음이 놓이는,,,to learn,"Lesson 2, SELAA","March 14, 2023 4:40 AM"
hang in there,"(어려운 상황에서) 버티여내다, 견디여내다","I know you’re four games behind, but you can still win the tennis match. Just hang in there!",to persevere; to not give up,to learn,"Lesson 2, SELAA","March 14, 2023 4:41 AM"
persevere,"끈기 있게 노력하다, 불굴의 정신으로 계속하다",,,to learn,"Lesson 2, SELAA","March 14, 2023 4:43 AM"
out of work,직업이 없는,Gary was out of work for a year before finding a new job.,unemployed; not working,to print,"Lesson 2, SELAA","March 14, 2023 4:43 AM"
live from hand to mouth,하루 벌어 하루 먹고 살다,Jenny was earning $5 an hour working at the store. She was really living from hand to mouth.,to barely have enough money to survive,to print,"Lesson 2, SELAA","March 14, 2023 4:44 AM"
stress out,스트레스로 지치다.,You’ve been so stressed out lately. You really need to take a long vacation.,under severe strain; very anxious,to learn,"Lesson 2, SELAA","March 14, 2023 4:46 AM"
make ends meet,"수지 균형을 맞추다, (수입 내에서) 생계를 꾸려나가다","If you can’t make ends meet, you’ll need to start spending less.",to manage one’s money so as to have enough to live on; to be okay financially,to print,"Lesson 2, SELAA","March 14, 2023 4:48 AM"
last resort,"마지막으로 기대할 곳, 최후의 수단",I don’t like taking medicine. I’ll only take it as a last resort.,if there are no other alternatives left; the last solution for getting out of a difficulty,to print,"Lesson 2, SELAA","March 14, 2023 4:50 AM"
if worse comes to worst,최악의 상황이 되면,"I know you’re running out of money. If worse comes to worst, you can always sell some of your jewelry.",in the worst case; if absolutely necessary,to learn,"Lesson 2, SELAA","March 14, 2023 4:52 AM"
jewelry,[dʒuːəlri] 보석,,,to learn,"Lesson 2, SELAA","March 14, 2023 4:53 AM"
severe,"사태∙문제 등이> 심각한, <피해∙고생 등이> 극심한",,,to learn,"Lesson 2, SELAA","March 14, 2023 4:53 AM"
strain,"(심신에 대한) 중압감, 스트레스",,,to learn,"Lesson 2, SELAA","March 14, 2023 4:54 AM"
think big,"생각의 폭을 넓히다, 크게 생각하다",Ken and Sandra hope to sell their house for $3 million dollars. They always think big.,to set high goals,to learn,"Lesson 2, SELAA","March 14, 2023 4:55 AM"
easier said than done,말처럼 쉽지 않은,Moving into a new home is easier said than done,more difficult than you think,to learn,"Lesson 2, SELAA","March 14, 2023 4:56 AM"
blow something,"(실수로) 날려버리다, 망쳐버리다",Brenda blew the interview and didn’t get the job offer.,to spoil or botch something,to learn,"Lesson 3, SELAA","March 15, 2023 6:52 AM"
spoil,"⋯을 망치다, 엉망으로 만들다",Your aunt really spoils you.,,to learn,"Lesson 3, SELAA","March 15, 2023 6:54 AM"
botch,"(부주의∙기술 부족 등으로) ⋯을 망쳐놓다, 엉망으로 만들다",The police were accused of botching the investigation.,,to learn,"Lesson 3, SELAA","March 15, 2023 6:55 AM"
cut class,수업[학교]에 빠지다.,Ted often cuts class to spend more time with his girlfriend,to miss class without an excuse,to learn,"Lesson 3, SELAA","March 15, 2023 6:56 AM"
slack off,"(전보다) 게을리 하다, 꾀부리다",Amanda doesn’t get much done at the office. She’s too busy slacking off.,to waste time,to learn,"Lesson 3, SELAA","March 15, 2023 6:57 AM"
hit the books,열심히 공부하기 시작하다,"Ted partied all weekend. Finally, on Sunday night, he decided it was time to hit the books.",to start studying,to print,"Lesson 3, SELAA","March 15, 2023 6:59 AM"
can’t stand,싫어하다.,Nicole can’t stand broccoli. She simply refuses to eat it.,to hate,to learn,"Lesson 3, SELAA","March 15, 2023 7:00 AM"
a lost cause,가망 없는 사람[것],"Cindy spent five years studying Russian. Finally, she realized it was a lost cause. She would never learn it.",something hopeless,to learn,"Lesson 3, SELAA","March 15, 2023 7:02 AM"
over one’s head,⋯의 머리로는 리해하지 못하다,The professor was speaking over our heads. None of us could understand him.,beyond one’s understanding,to learn,"Lesson 3, SELAA","March 15, 2023 7:03 AM"
buckle down,본격적으로 일에 착수하다,"If Don buckles down now, he might be able to graduate from high school this year.",to start working seriously,to print,"Lesson 3, SELAA","March 15, 2023 7:05 AM"
not give a hoot,전혀 관심 없다,Tom likes to walk around town in his pajamas - he doesn’t give a hoot what people think.,to not care about,to learn,"Lesson 3, SELAA","March 15, 2023 7:06 AM"
pajamas,잠옷,,,to learn,"Lesson 3, SELAA","March 15, 2023 7:08 AM"
atom,원자,,,to learn,"Lesson 3, SELAA","March 15, 2023 7:08 AM"
molecule,분자,,,to learn,"Lesson 3, SELAA","March 15, 2023 7:08 AM"
beside the point,"상관없다, 중요하지 않다.","The reason you’re late is beside the point. The fact is, your dinner is now cold.",not relevant; not important,to print,"Lesson 3, SELAA","March 15, 2023 7:11 AM"
have one’s heart set on,"⋯을 강렬히 바라다, ⋯으로 마음을 정하다",Did you really have your heart set on going to Harvard?,to really want something,to learn,"Lesson 3, SELAA","March 15, 2023 7:12 AM"
stand a chance,(⋯할) 가능성[희망]이 있다,"Although the American figure skaters were good, they didn’t stand a chance of winning a gold medal at the Olympics.",to have the possibility of success,to learn,"Lesson 3, SELAA","March 15, 2023 7:14 AM"
pay (someone) a compliment,⋯을 칭찬하다,Professor Russo paid Jennifer a compliment. He said she had a beautiful smile.,to give someone a compliment; to offer someone an admiring comment,to learn,"Lesson 4, SELAA","March 22, 2023 4:18 AM"
compliment,"칭찬, 찬사",Being compared to my father is a great compliment.,,to learn,"Lesson 4, SELAA","March 22, 2023 4:19 AM"
admire,"⋯을 존경하다, 높이 평가하다",I admire your honesty.,,to learn,"Lesson 4, SELAA","March 22, 2023 4:19 AM"
head and shoulders above,⋯보다 훨씬 뛰어나다,The Boston Symphony Orchestra is head an shoulders above any other orchestra in the area.,far superior to,to learn,"Lesson 4, SELAA","March 22, 2023 4:21 AM"
way to go!,"(칭찬하며) 잘했어!, 잘됐다!",You won $2000 in the poetry writing contest? Way to go!,Good work!,to print,"Lesson 4, SELAA","March 22, 2023 4:22 AM"
poetry,시,,,to learn,"Lesson 4, SELAA","March 22, 2023 4:22 AM"
go into,…을 시작하다.,"Do you like solving people’s problems? If so, you should consider going into psychology.","1. Enter. Go into the house and get a pen.
2. Enter another emotional state. Sally went into hysterics.
3. Discuss details. I don’t have time now to go into the whole story.",to print,"Lesson 4, SELAA","March 22, 2023 4:22 AM"
gung ho,극도로 열성적인,Heather is really gung ho about her new job.,very enthusiastic; very excited,to learn,"Lesson 4, SELAA","March 22, 2023 4:24 AM"
drive somebody crazy,⋯을 미치게[짜증나게] 만들다,Don’t ask Mrs.Smith how old she is. It drives her crazy.,to annoy someone very much,to learn,"Lesson 4, SELAA","March 22, 2023 4:25 AM"
butt in,(대화에) 불쑥 끼어들다,Sara is really rude. She always butts in to other people’s conversations.,to interrupt; to interfere,to learn,"Lesson 4, SELAA","March 22, 2023 4:26 AM"
interfere,"참견하다, 간섭하다",It’s not your problem - don’t interfere.,,to learn,"Lesson 4, SELAA","March 22, 2023 4:27 AM"
hit the nail on the head,(발언 등이) 정확히 찌르다,Steve hit the nail on the head with his idea of moving his company’s manufacturing facility to China.,to be right,to print,"Lesson 4, SELAA","March 22, 2023 4:27 AM"
green with envy,부러워 배가 아픈,"When Daniel got promoted to vice president of the bank, his colleagues were green with envy.",desiring another’s advantages or things,to print,"Lesson 4, SELAA","March 22, 2023 4:28 AM"
shut up,입을 다물다,"Nicole kept telling Ted to turn down his stereo. Finally, he got angry and said, “Shut up!”","1. be quiet, stop speaking
EX: The professor talked for hours. I thought he’d never shut up.
2. Stop speaking",to learn,"Lesson 4, SELAA","March 22, 2023 4:28 AM"
shake in one’s shoes,공포에 떨다.,"During the storm, Billy was hiding under his kitchen table and was really shaking in his shoes.",to tremble with fear; to be afraid,to learn,"Lesson 4, SELAA","March 22, 2023 4:29 AM"
on thin ice with someone,"위험천만한, 아슬아슬한",Joey was on thin ice with his mom after he spent his lunch money on candy bars.,to be in a dangerous position; to be temporarily on sombody’s bad side,to learn,"Lesson 4, SELAA","March 22, 2023 4:30 AM"
tremble,공포에 떨다,"Polly hide behind the door, trembling with fear. 폴리는 공포에 떨며 문 뒤에 숨었다",,to learn,"Lesson 4, SELAA","March 22, 2023 4:33 AM"
jealous,(자질∙능력 등을) 질투하는,Why are you so jealous of his success?,,to learn,"Lesson 4, SELAA","March 22, 2023 4:47 AM"
have a heart of gold,마음씨가 비단결처럼 곱다,You adopted five children from a Romanian orphanage? You’ve got a heart of a gold!,to be very kind and giving,to learn,"Lesson 6, SELAA","March 22, 2023 6:00 AM"
pig out,"과식하다, 폭식하다, 많이 먹다.","Nicole, stop pigging out on cookies or you’ll never be able to eat your dinner!",to eat greedily; to stuff oneself,to learn,"Lesson 6, SELAA","March 22, 2023 6:02 AM"
greedily,"탐욕스럽게, 게걸스럽게",,,to learn,"Lesson 6, SELAA","March 22, 2023 6:03 AM"
cheer someone up,…을 기쁘게하다. 힘내게 하다.,Susan called her friend in the hospital to cheer her up.,to make someone happy,to learn,"Lesson 6, SELAA","March 22, 2023 6:03 AM"
in a bad mood,"기분이 좋지 않다, 저기압이다",I don’t like to see you in a bad mood. How can I cheer you up?,unhappy; depressed,to learn,"Lesson 6, SELAA","March 22, 2023 6:04 AM"
on edge,신경이 곤두선,"Whenever Susan feels on edge, she takes several deep breaths and starts to feel more relaxed.",nervous,to learn,"Lesson 6, SELAA","March 22, 2023 6:05 AM"
(just) what the doctor ordered,"(문제 해결 등을 위해) (딱) 필요한 것, 바로 원하던 것",Our trip to Florida was so relaxing. It was just what the doctor ordered!,exactly what was needed,to learn,"Lesson 6, SELAA","March 22, 2023 6:05 AM"
help yourself,(⋯을) 마음껏 가져다 먹다[마시다],You don’t need to wait for me to offer you something. Please just help yourself to whatever you want.,serve yourself,to learn,"Lesson 6, SELAA","March 22, 2023 6:06 AM"
out of the world,"너무나 훌륭한, 뛰어난","Mmmm, I love your chicken soup. It’s out of the world!",delicious,to print,"Lesson 6, SELAA","March 22, 2023 6:07 AM"
go into business,기업을 시작하다.,Jeff decided to go into business selling baseball cards.,to start a business,to print,"Lesson 6, SELAA","March 22, 2023 6:08 AM"
make a bundle,돈을 많이 벌다.,Bob’s friend Charles made a bundle in the stock market and retired at age 45.,to make a lot of money,to learn,"Lesson 6, SELAA","March 22, 2023 6:08 AM"
good thinking,좋은 생각이에요,I’m glad you brought an umbrella - that was good thinking!,good idea; smart planning,to learn,"Lesson 6, SELAA","March 22, 2023 6:08 AM"
give someone credit,…를 인정하다,The scientist gave his assistant credit for the discovery.,to acknowledge someone’s contribution,to learn,"Lesson 6, SELAA","March 22, 2023 6:10 AM"
give credit where credit is due,어떤 사람의 공적이나 능력을 솔직하게 인정하거나 감사해야 한다는 뜻이다. 입은 비뚤어져도 말은 바로 하여야 한다..,I will be sure to thank you when I give my speech. I always give credit where credit is due.,to give thanks or acknowledgement to the person who deserves it,to learn,"Lesson 6, SELAA","March 22, 2023 6:11 AM"
bright and early,이른 아침에,"Our flight to Berlin leaves at 7:00 a.m. tomorrow, so we’ll have to get up bright and early.",early in the morning,to print,"Lesson 7, SELAA","March 23, 2023 11:54 PM"
not sleep a wink,한잠도 못 자다,Ted was so nervous about his chemistry test that he didn’t sleep a wink the night before.,to be awake all night,to print,"Lesson 7, SELAA","March 23, 2023 11:55 PM"
work like a dog,뼈빠지게 일하다.,"Larry became an investment banker after college, and now he works like a dong.",to work very hard,to print,"Lesson 7, SELAA","March 23, 2023 11:56 PM"
Fat chance!,"'가능성이 희박함', '그럴리가 없다' 등의 뜻으로 아주 낮은 가능성을 나타내는 말",The boy at school are always laughing at Dana. Will she be invited to the school dance? Fat chance!,definitely not,to learn,"Lesson 7, SELAA","March 23, 2023 11:56 PM"
not have a clue,전혀 모른다.,"Bob talks about working at McDonald’s, but the truth is he doesn’t have a clue about making hamburgers.",to know nothing about,to print,"Lesson 7, SELAA","March 23, 2023 11:58 PM"
crash course,"단기집중강습 ","Yesterday, Joan’s son sat down with her for a couple of hours and gave her a crash course on using the Internet.",short and intensive instruction,to learn,"Lesson 7, SELAA","March 23, 2023 11:58 PM"
needless to say,"〘구어〙 말할 필요도 없이, 당연하게","You’ve got a test tomorrow morning. Needless to say, you can’t stay out late tonight.",obvisously,to learn,"Lesson 7, SELAA","March 24, 2023 12:00 AM"
mixed feelings,복잡다단한,"I have mixed feelings about the president of our company. He’s good with the clients, but he’s nasty to his employees.",to feel positive about one aspect of something and negative about another,to learn,"Lesson 7, SELAA","March 24, 2023 12:01 AM"
nasty,"<사람∙발언∙행위 등이> 고약한, 못된, 심술궂은",He has a nasty temper. 그는 성격이 고약하다,,to learn,"Lesson 7, SELAA","March 24, 2023 12:02 AM"
happy camper,"행복한, 만족스러운 사람","When Linda’s passport was stolen in Florence, she was not a happy camper.","a happy person; a satisfied participant ",to learn,"Lesson 7, SELAA","March 24, 2023 12:03 AM"
give it a shot,한번 해보다. 무엇인가 시도해 보다.,"I’ve never tried to make wine in my bathtub  before, but perhaps I’ll give it a shot.",to try something,to learn,"Lesson 7, SELAA","March 24, 2023 12:04 AM"
bathtub,욕조,,,to learn,"Lesson 7, SELAA","March 24, 2023 12:04 AM"
loan,⋯을 빌려주다,Jeff loaned us his car for the weekend.,,to learn,"Lesson 7, SELAA","March 24, 2023 12:05 AM"
a tough break,재수없는 일이 생겼을 때 쓰인다.,It was a tough break for us when Caroline quit. She was one of out top performers.,"When something unfortunate happens, it can be called a “tough break”",to learn,"Lesson 5, SELAA","March 26, 2023 3:21 PM"
drop by,(집에) 잠시 들리다.,"If we have time before the movie, let’s drop by Bill’s house.","to pay a short, often unannounced visit",to print,"Lesson 5, SELAA","March 26, 2023 10:45 PM"
up in the air,"아직 확실치 않다, 미결정 상태다","It might rain later, so our plans for the picnic are up in the air.",not yet determined; uncertain,to print,"Lesson 5, SELAA","March 26, 2023 10:47 PM"
hang around,"(⋯에서) 빈둥거리다, 얼쩡거리다",We had to hang around the airport for an extra six hours because our flight was delayed.,to spend time idly; to linger,to learn,"Lesson 5, SELAA","March 26, 2023 10:48 PM"
down in the dumps,우울하다.,It’s easy to feel down in the dumps when it’s raining outside,to feel sad; to be depressed,to learn,"Lesson 5, SELAA","March 26, 2023 10:49 PM"
crazy about,"⋯에게 미쳐 있다, ⋯에게 푹 빠져있다","Amy is so crazy about golf, she’d like to play every day.",to like very much,to print,"Lesson 5, SELAA","March 26, 2023 10:49 PM"
take something the wrong way,"<발언 등>을 나쁘게 듣다, ⋯을 오해하다","Don’t take this the wrong way, but I liked your hair better before you got it cut.",to take offense,to learn,"Lesson 5, SELAA","March 26, 2023 10:50 PM"
cup of tea,"⋯이 좋아하는 것이 아니다, ⋯의 취미에 맞지 않다","I know Joy is nice, but she’s simply not my cup of tea.",the type of person or thing that one generally likes,to learn,"Lesson 5, SELAA","March 26, 2023 10:51 PM"
take it easy,"진정하라, 흥분하지 말라, 슬렁슬렁하다.","You lost your keys? Take it easy, I am sure you’ll find them.",relax; don’t worry,to print,"Lesson 5, SELAA","March 26, 2023 10:52 PM"
hang out,"한가로이 보내다, 빈둥빈둥하다",Ted spent all of last summer hanging out by his friend’s pool,to spend time (often doing nothing),to print,"Lesson 5, SELAA","March 26, 2023 10:53 PM"
there’s no accounting for taste,"취향은 가지가지다, 사람마다 기호가 다른 법이다",Ted likes to put sugar on his spaghetti. I guess there’s no accounting for taste.,it’s impossible to explain individual likes and dislikes,to learn,"Lesson 5, SELAA","March 26, 2023 10:55 PM"
have a blast,즐거운 시간을 보내다.,"Last summer, Nicole had a blast backpacking through Europe with some friends.",to enjoy oneself very much,to learn,"Lesson 5, SELAA","March 26, 2023 10:56 PM"
backpack,배낭려행을 하다.,,,to learn,"Lesson 5, SELAA","March 26, 2023 10:57 PM"
under one’s breath,"아주 작은 소리로, 소곤소곤","Mike agreed to take out the garbage, saying under his breath, “I always do the dirty work around here.”",quietly; in a whisper,to learn,"Lesson 5, SELAA","March 26, 2023 10:57 PM"
senator,"(대학의) 리사장, 평의원",,,to define,"Lesson 9, SELAA","March 27, 2023 11:10 PM"
get something under one’s belt,<지식∙경력 등>을 어엿하게 갖다[달성하다],Kristen had three years of working for a large firm under her belt before leaving to start her own firm.,to have or to get experience,to define,"Lesson 9, SELAA","March 27, 2023 11:10 PM"
give someone a run for one’s money,치렬한 경쟁을 하다. 접전을 벌리다.,,to be strong competition,to define,"Lesson 9, SELAA","March 27, 2023 11:11 PM"
idiot,"바보, 멍청이",,,to define,"Lesson 9, SELAA","March 27, 2023 11:12 PM"
by far,"단연코, 훨씬",Some people think Tom Hanks is by far the best actor in America today.,by a wide margin; by a great difference,learned,"Lesson 9, SELAA","March 27, 2023 11:12 PM"
full of oneself,자기밖에 모르다,"After Angela appeared on the cover of Vogue magazine, she was really full of herself.",to think to much of oneself,to define,"Lesson 9, SELAA","March 27, 2023 11:13 PM"
kid around,"장난치다, 놀리다","Jeremy loves to kid around, so don’t be offended by anything he says.",to joke around,to define,"Lesson 9, SELAA","March 27, 2023 11:14 PM"
offend,"(모욕적 발언 등으로) ⋯의 기분을 상하게 하다, ⋯을 불쾌하게 하다",,,to define,"Lesson 9, SELAA","March 27, 2023 11:15 PM"
get down to business,"본론으로 들어가다, 본격적으로 일에 착수하다",Our dinner guests are arriving in two hours. We’d better get down to business and start preparing.,to get serious about a task,to define,"Lesson 9, SELAA","March 27, 2023 11:15 PM"
persuade,"⋯을 납득시키다, 믿게 하다",,,to define,"Lesson 9, SELAA","March 27, 2023 11:17 PM"
give someone the time of day,"⋯에게 인사하다, ⋯을 아는 체하다","Sandra never gave me the time of day back in college, but now she calls me all the time for advise",to ignore someone; to refuse to pay any attension to someone,to define,"Lesson 9, SELAA","March 27, 2023 11:17 PM"
give someone the cold shoulder,⋯에게 쌀쌀하게 대하다,,to be cold to someone on purpose; to snub someone,to define,"Lesson 9, SELAA","March 27, 2023 11:19 PM"
snub,"⋯을 랭대하다, 무시하다",,,to define,"Lesson 9, SELAA","March 27, 2023 11:19 PM"
goody-goody,(어른들에게 잘 보이려고) 착한 척하는 사람,Samantha is a real goody-goody. She always offers to erase the blackboard at the end of class.,self-righteously or smugly good,to define,"Lesson 9, SELAA","March 27, 2023 11:19 PM"
brown-nose,"아첨하다, 아부를 떨다",Lauren is such a brown-noser. She’s always telling her teacher how much she enjoys class.,"a person who’s constantly trying to win favor with people above them, such as teachers or bosses.",to define,"Lesson 9, SELAA","March 27, 2023 11:20 PM"
you scratch my back and I’ll scratch yours,"상부상조합시다, 나를 도와주면 나도 도와줄게요",I’ll help you with your homework if you do the dishes. You scratch my back and I’ll scratch yours.,"if you do me a favor, I’ll do you a favor; let’s cooperate",to define,"Lesson 9, SELAA","March 27, 2023 11:23 PM"
it’s a deal,"상부상조합시다, 나를 도와주면 나도 도와줄게요","You’ll make dinner every night for a month if I help you with your homework? Okay, it’s a deal!",I agree,to learn,"Lesson 9, SELAA","March 27, 2023 11:24 PM"
count on someone,"⋯을 믿다, ⋯에게 의지하다, ⋯가 ⋯할 것으로 기대하다[믿다]","If I can count on you to wake me up, I won’t set my alarm clock.",to depend or reply on someone,to print,"Lesson 9, SELAA","March 27, 2023 11:24 PM"
get under somebody’s skin,"⋯의 신경에 거슬리다, ⋯을 짜증 나게 하다",Don’t let him get under your skin.,to annoy or bother them,to define,,"March 28, 2023 2:03 AM"
